zinc_id,S,mol,$CLUSTER,rseq,mseq,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,smiles,pseq,mol:molecule,%C,wash,E_orig,PLIF_pronum,PLIF_raw,FP:PLIF,PLIF_ligidx,FP:BIT_MACCS,Rank_Poses,RMSD_Cluster,top_scoring,Drug_Identity
ZINC000150601177,-8.7815647,O=C(OC)N[C@H](C(=O)N1[C@H](C(=O)Nc2ccc([C@H]3N([C@H](c4ccc(NC(=O)[C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)cc4)CC3)c3ccc(C(C)(C)C)cc3)cc2)CCC1)C(C)C,,1,341,4.0012879,-18.311544,27.634541,-9.4377069,-55.20348,-8.7815647,O=C(OC)N[C@H](C(=O)N1[C@H](C(=O)Nc2ccc([C@H]3N([C@H](c4ccc(NC(=O)[C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)cc4)CC3)c3ccc(C(C)(C)C)cc3)cc2)CCC1)C(C)C,1553,O=C(OC)N[C@H](C(=O)N1[C@H](C(=O)Nc2ccc([C@H]3N([C@H](c4ccc(NC(=O)[C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)cc4)CC3)c3ccc(C(C)(C)C)cc3)cc2)CCC1)C(C)C,100.0,O=C(OC)N[C@H](C(=O)N1[C@H](C(=O)Nc2ccc([C@H]3N([C@H](c4ccc(NC(=O)[C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)cc4)CC3)c3ccc(C(C)(C)C)cc3)cc2)CCC1)C(C)C,1.4097768,1,[[8 65 66 64 69 42 42 42 42 42 42 87 87 87 87 87 87 85 85 85 85 85 85 47 47 47 47 47 47 45 45 45 45 45 45 43 43 43 43 43 43] [2505 1249 387 2724 389 2150 2152 2148 2144 2143 2146 2150 2152 2148 2144 2143 2146 2150 2152 2148 2144 2143 2146 2150 2152 2148 2144 2143 2146 2150 2152 2148 2144 2143 2146 2150 2152 2148 2144 2143 2146] [220320 80 25 220393 26 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133] [5 3 1 6 4 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [1.2 0.5 5.4 0.5 2 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005]],1 2 7 8 9 149 13,[66 66 69 69 65 8 64],,1,rmsd > 4,Top 1% (324 poses),Ombitasvir
ZINC000008214662,-8.7696676,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOCCCCCCCCCCCC,32.0,1,128,6.6861329,135.98833,-39.800877,-10.567932,-54.848412,-8.7696676,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOCCCCCCCCCCCC,130,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOCCCCCCCCCCCC,100.0,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOCCCCCCCCCCCC,2.2522347,1,[[52 59 66 94] [1163 1166 1166 389] [74 74 74 26] [2 2 2 4] [0.5 4.3 1.3 0.6]],14 3 4,[94 [52 59 66] 59],0 0 35653632 193339393 101583264 9044,2,rmsd > 4,Top 1% (324 poses),
ZINC000085537014,-8.7136173,O=C(OCc1scnc1)N[C@H](CC[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(C(C)C)sc1)C)CC[NH+]1CCOCC1)Cc1ccccc1)Cc1ccccc1,,1,262,2.4646554,-70.888,23.944935,-8.8729019,-50.805653,-8.7136173,O=C(OCc1scnc1)N[C@H](CC[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(C(C)C)sc1)C)CCN1CCOCC1)Cc1ccccc1)Cc1ccccc1,666,O=C(OCc1scnc1)N[C@H](CC[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(C(C)C)sc1)C)CC[NH+]1CCOCC1)Cc1ccccc1)Cc1ccccc1,66.933723,O=C(OCc1scnc1)N[C@H](CC[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(C(C)C)sc1)C)CC[NH+]1CCOCC1)Cc1ccccc1)Cc1ccccc1,2.2012594,1,[[27 35 42 23 41 77] [387 2733 2123 1166 389 2724] [25 220396 132 74 26 220393] [1 5 3 2 4 6] [0.5 0.5 0.6 1.9 1.7 0.7]],10 6 37 33 62 17 30 24,[27 41 41 23 23 42 77 35],,3,2 < rmsd < 4,Top 1% (324 poses),Obicistat
ZINC000003830635,-8.6023216,O=C(N(O)CCCCC[NH3+])CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)C,25.0,1,28,3.9756832,-112.19158,-33.669258,-11.094315,-55.411678,-8.6023216,O=C(N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN)CCC(=O)NCCCCCN(O)C(=O)C,28,O=C(N(O)CCCCC[NH3+])CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)C,98.846611,O=C(N(O)CCCCC[NH3+])CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)C,2.2,1,[[55 85 85 28 85 85] [1134 1180 1193 1166 1180 1193] [73 75 76 74 75 76] [3 1 1 2 7 7] [0.8 11.1 13.2 1 5.2508606 5.299290312]],86 3 59 61 60 62 87 88 89 90,[55 28 85 85 85 85 85 85 85 85],8392704 262144 547360000 236595723 237932426 10173,5,2 < rmsd < 4,Top 1% (324 poses),
ZINC000003830276,-8.4428511,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,,1,365,6.315311,121.33702,61.666733,-8.8918571,-53.313305,-8.4428511,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,1577,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,100.0,O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,1.4,1,[[31 73 87] [2766 2724 389] [220407 220393 26] [6 6 4] [0.6 1.1 0.5]],7 13 55,[87 73 31],,8,rmsd > 4,Top 1% (324 poses),
ZINC000150588351,-8.4274158,O=C(OC)N[C@H](C(=O)N1[C@H](c2[nH]c(-c3cc4c(n5[C@H](c6ccccc6)Oc6c(-c5c4)ccc(-c4[nH]c([C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)nc4)c6)cc3)cn2)CCC1)C(C)C,1.0,1,51,11.675951,78.339371,-0.27074867,-5.962811,-51.866642,-8.4274158,O=C(OC)N[C@H](C(=O)N1[C@H](c2[nH]cc(-c3cc4c(n5[C@H](c6ccccc6)Oc6c(-c5c4)ccc(-c4nc([C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)[nH]c4)c6)cc3)n2)CCC1)C(C)C,51,O=C(OC)N[C@H](C(=O)N1[C@H](c2[nH]c(-c3cc4c(n5[C@H](c6ccccc6)Oc6c(-c5c4)ccc(-c4[nH]c([C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)nc4)c6)cc3)cn2)CCC1)C(C)C,20.044298,O=C(OC)N[C@H](C(=O)N1[C@H](c2[nH]c(-c3cc4c(n5[C@H](c6ccccc6)Oc6c(-c5c4)ccc(-c4[nH]c([C@H]5N(C(=O)[C@@H](NC(=O)OC)C(C)C)CCC5)nc4)c6)cc3)cn2)CCC1)C(C)C,1.279664,1,[[8 38 77 75 80] [2186 2265 387 2724 389] [136 142 25 220393 26] [3 1 1 6 4] [2.8 0.9 2.2 1.8 1.9]],1 2 14 15 116 117 48 6 7,[77 77 80 80 8 8 38 75 75],4194304 67108992 558194706 744014583 1069254071 32751,9,rmsd > 4,Top 1% (324 poses),Elbasvir
ZINC000003941496,-8.2802362,O=C(OC)N[C@H](C(=O)NN(C[C@H](O)[C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)Cc1ccc(-c2ncccc2)cc1)C(C)(C)C,46.0,1,319,4.0199909,10.822412,9.9738359,-5.8308344,-57.311707,-8.2802362,O=C(OC)N[C@H](C(=O)NN(C[C@H](O)[C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)Cc1ccc(-c2ncccc2)cc1)C(C)(C)C,322,O=C(OC)N[C@H](C(=O)NN(C[C@H](O)[C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)Cc1ccc(-c2ncccc2)cc1)C(C)(C)C,94.252441,O=C(OC)N[C@H](C(=O)NN(C[C@H](O)[C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)Cc1ccc(-c2ncccc2)cc1)C(C)(C)C,1.9249144,1,[[8 60 65 7 46 55 53 51 49 47 40 58 56 45 43 41] [2634 387 1249 1166 1163 1163 1163 1163 1163 1163 1166 1166 1166 1166 1166 1166] [220363 25 80 74 74 74 74 74 74 74 74 74 74 74 74 74] [5 1 3 2 10 10 10 10 10 10 10 10 10 10 10 10] [0.7 2.6 2.5 6.1 0.5 0.5 0.5 0.5 0.5 0.5 1.6 1.6 1.6 1.6 1.6 1.6]],1 2 3 4 25 26 16 19 27,[60 60 7 7 [46 55 53 51 49 47 40 58 56 45 43 41] [40 58 56 45 43 41] 65 65 8],4194304 14680064 571220274 70820575 457149759 32767,12,rmsd > 4,Top 1% (324 poses),
ZINC000008214629,-8.2763338,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOc1ccc(CCCCCCCCC)cc1,,1,300,3.7267795,139.15115,-36.720352,-10.799047,-52.313206,-8.2763338,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOc1ccc(CCCCCCCCC)cc1,1512,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOc1ccc(CCCCCCCCC)cc1,100.0,O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOc1ccc(CCCCCCCCC)cc1,1.8001753,1,[[98 70 77] [387 1166 1166] [25 74 74] [1 2 2] [1.7 0.9 3.8]],1 2 18 19,[98 98 [70 77] 77],,13,2 < rmsd < 4,Top 1% (324 poses),
ZINC000253632968,-8.2508802,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3[C@H](C(=O)N(C)CCCCC=C[C@@H]1C2)C[C@H](Oc1c2c(c(C)c(OC)cc2)nc(-c2scc(C(C)C)n2)c1)C3)C1CC1,,1,393,3.4045272,233.22607,-12.855412,-12.724496,-43.416859,-8.2508802,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3[C@H](C(=O)N(C)CCCCC=C[C@@H]1C2)C[C@H](Oc1c2c(c(C)c(OC)cc2)nc(-c2scc(C(C)C)n2)c1)C3)C1CC1,1605,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3[C@H](C(=O)N(C)CCCCC=C[C@@H]1C2)C[C@H](Oc1c2c(c(C)c(OC)cc2)nc(-c2scc(C(C)C)n2)c1)C3)C1CC1,77.097267,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3[C@H](C(=O)N(C)CCCCC=C[C@@H]1C2)C[C@H](Oc1c2c(c(C)c(OC)cc2)nc(-c2scc(C(C)C)n2)c1)C3)C1CC1,0.75706553,1,[[30 74 6 91 90 11 9 7] [2733 1166 359 359 359 359 359 359] [220396 74 24 24 24 24 24 24] [6 2 10 10 10 10 10 10] [0.9 2.1 0.8 0.8 0.8 0.8 0.8 0.8]],29 18 19 20,[[6 91 90 11 9 7] 74 74 30],,15,2 < rmsd < 4,Top 1% (324 poses),Simeprevir
ZINC000256097218,-8.2179184,O(C[C@H](O)C)C[C@H]1[C@H](OC[C@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)[C@@H](O[C@H]2[C@@H](OC[C@@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)O[C@H]2COC[C@@H](O)C)O1,,1,280,3.3085003,155.53961,-33.233429,-7.3167586,-48.946335,-8.2179184,O(C[C@H](O)C)C[C@H]1[C@H](OC[C@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)[C@@H](O[C@H]2[C@@H](OC[C@@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)O[C@H]2COC[C@@H](O)C)O1,1492,O(C[C@H](O)C)C[C@H]1[C@H](OC[C@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)[C@@H](O[C@H]2[C@@H](OC[C@@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)O[C@H]2COC[C@@H](O)C)O1,100.0,O(C[C@H](O)C)C[C@H]1[C@H](OC[C@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)[C@@H](O[C@H]2[C@@H](OC[C@@H](O)C)[C@@H](OC[C@@H](O)C)[C@H](OC[C@@H](O)C)O[C@H]2COC[C@@H](O)C)O1,2.4349239,1,[[6 27 39 41 94 106 51] [2580 387 1249 387 1181 2658 1166] [220345 25 80 25 75 220371 74] [5 1 3 1 1 5 2] [1.1 0.5 1.1 0.5 1.2 0.8 0.6]],1 18 76 9 12 11,[[27 41] 51 94 39 6 106],,19,2 < rmsd < 4,Top 1% (324 poses),
