RMSD_BR,RMSD_AR,#atomsAligned,Alignment_score,Ref_Ligand,Aligned_Ligand
0.0,0.0,38,5.0,control_cyc1,cyclica1
0.0,0.0,57,5.0,control_cyc2,cyclica2
0.00010372567339800298,0.00010372567339800298,57,5.0,cyclica2,p1_108
0.00010692601063055918,0.00010692601063055918,57,5.0,control_cyc2,p1_108
0.00013766354823019356,0.00013766354823019356,38,5.0,cyclica1,p1_79
0.00013860063336323947,0.00013860063336323947,38,5.0,control_cyc1,p1_79
0.08389376103878021,0.08389376103878021,3,0.0,control_fda1,p1_Z2877643040
0.08652432262897491,0.08652432262897491,3,0.0,control_fda1,p1_Z3814570540
0.09380670636892319,0.09380670636892319,3,0.0,control_fda1,p1_002963694427
0.09460484236478806,0.09460484236478806,3,0.0,control_fda1,p1_Z3741126686
0.09842920303344727,0.09842920303344727,3,0.0,control_fda1,p1_7132
0.10456228256225586,0.10456228256225586,3,5.0,fda650,fda698
0.1088939905166626,0.1088939905166626,3,0.0,control_fda1,p1_6831
0.1417085975408554,0.1417085975408554,4,5.0,fda638,fda698
0.17011472582817078,0.17011472582817078,4,5.0,fda668,fda698
0.17868874967098236,0.17868874967098236,3,5.0,control_fda1,fda623
0.17974337935447693,0.17974337935447693,3,5.0,fda653,fda698
0.1836131513118744,0.1836131513118744,3,5.0,control_fda1,fda648
0.18392501771450043,0.18392501771450043,3,5.0,control_fda1,fda646
0.18629997968673706,0.18629997968673706,3,5.0,control_fda1,fda644
0.2032344788312912,0.2032344788312912,4,0.0,fda698,p1_Z4599149210
0.21054962277412415,0.21054962277412415,4,0.0,fda698,p1_108
0.21056358516216278,0.21056358516216278,4,0.0,control_cyc2,fda698
0.21056389808654785,0.21056389808654785,4,0.0,cyclica2,fda698
0.21383272111415863,0.21383272111415863,4,0.0,fda698,p1_6358
0.22047024965286255,0.22047024965286255,4,5.0,fda621,fda698
0.2562435567378998,0.2562435567378998,4,0.0,fda698,p1_Z1869839847
0.31593939661979675,0.31593939661979675,3,5.0,control_fda1,fda649
0.34655141830444336,0.34655141830444336,4,0.0,fda698,p1_727
0.38872092962265015,0.38872092962265015,3,5.0,fda649,fda698
0.3923090994358063,0.3923090994358063,4,0.0,control_fda1,p1_2027
0.40528926253318787,0.40528926253318787,4,0.0,control_fda1,p1_003541224761
0.41051527857780457,0.41051527857780457,4,5.0,fda614,fda698
0.41157904267311096,0.41157904267311096,3,0.0,fda698,p1_6831
0.4146903157234192,0.4146903157234192,3,5.0,control_fda1,fda650
0.43729981780052185,0.43729981780052185,3,5.0,fda627,fda698
0.44278350472450256,0.44278350472450256,3,0.0,fda698,p1_7132
0.44394487142562866,0.44394487142562866,3,0.0,fda698,p1_002963694427
0.4464446008205414,0.4464446008205414,3,0.0,fda698,p1_Z2877643040
0.45697692036628723,0.45697692036628723,3,5.0,control_fda1,fda693
0.4627656638622284,0.4627656638622284,4,5.0,fda635,fda698
0.4677499532699585,0.4677499532699585,4,0.0,fda698,p1_Z1587687597
0.4799008071422577,0.4799008071422577,4,0.0,control_fda1,p1_Z4199196925
0.49286502599716187,0.49286502599716187,3,5.0,fda648,fda698
0.4948502779006958,0.4948502779006958,3,5.0,fda646,fda698
0.4991205632686615,0.4991205632686615,3,5.0,fda644,fda698
0.5114621520042419,0.5114621520042419,3,5.0,fda623,fda698
0.5366306900978088,0.5366306900978088,4,5.0,fda643,fda698
0.5407481789588928,0.5407481789588928,4,0.0,fda698,p1_6455
0.5443300604820251,0.5443300604820251,4,0.0,fda698,p1_7300
0.5447952747344971,0.5447952747344971,3,5.0,control_fda1,fda653
0.5711191296577454,0.5711191296577454,4,0.0,fda698,p1_005439977846
0.5795986652374268,0.5795986652374268,4,5.0,control_fda1,fda669
0.6051503419876099,0.6051503419876099,4,5.0,fda615,fda698
0.6120843291282654,0.6120843291282654,4,5.0,fda645,fda698
0.6496822834014893,0.6496822834014893,4,0.0,fda698,p1_004809764227
0.6586063504219055,0.6586063504219055,4,5.0,fda667,fda698
0.6616526246070862,0.6616526246070862,4,5.0,fda687,fda698
0.6675481200218201,0.6675481200218201,7,5.0,fda639,fda646
0.6979535818099976,0.6979535818099976,4,5.0,fda662,fda698
0.7180238962173462,0.7180238962173462,4,5.0,fda628,fda698
0.7376267313957214,0.7376267313957214,4,5.0,fda640,fda698
0.7386093735694885,0.7386093735694885,4,5.0,control_fda1,fda698
0.7409291863441467,0.7409291863441467,4,0.0,fda698,p1_Z4924721782
0.743168830871582,0.743168830871582,3,5.0,fda693,fda698
0.751465916633606,0.751465916633606,4,5.0,fda608,fda698
0.7621483206748962,0.7621483206748962,7,5.0,fda649,fda679
0.7981399297714233,0.7981399297714233,4,5.0,fda661,fda698
0.8011415600776672,0.8011415600776672,3,5.0,control_fda1,fda627
0.8048483729362488,0.8048483729362488,7,5.0,fda653,fda679
0.8098020553588867,0.8098020553588867,4,5.0,control_fda1,fda626
0.822377622127533,0.822377622127533,4,5.0,fda691,fda698
0.8305597305297852,0.8305597305297852,4,5.0,fda624,fda698
0.8361120820045471,0.8361120820045471,4,0.0,control_fda1,p1_427
0.8381485342979431,0.8381485342979431,4,0.0,fda698,p1_Z4579903778
0.8517327904701233,0.8517327904701233,4,5.0,fda634,fda698
0.8564924597740173,0.8564924597740173,6,5.0,fda648,fda679
0.8565247654914856,0.8565247654914856,4,5.0,fda669,fda698
0.880722165107727,0.880722165107727,6,5.0,fda646,fda679
0.8824287056922913,0.8824287056922913,6,0.0,control_fda1,p1_Z3316686839
0.8976029753684998,0.8976029753684998,4,5.0,fda683,fda698
0.9147891998291016,0.9147891998291016,4,5.0,fda604,fda698
0.923858106136322,0.923858106136322,4,5.0,fda689,fda698
0.9355173110961914,0.9355173110961914,4,0.0,control_fda1,p1_005444919692
0.943569540977478,0.943569540977478,4,0.0,fda698,p1_001984536278
0.9444102644920349,0.9444102644920349,7,5.0,fda650,fda679
0.9452929496765137,0.9452929496765137,4,5.0,fda658,fda698
0.9538993835449219,0.9538993835449219,4,0.0,fda698,p1_006689806556
0.9664412140846252,0.9664412140846252,4,5.0,fda659,fda698
0.9712632894515991,0.9712632894515991,31,5.0,fda657,fda692
0.977702260017395,0.977702260017395,4,0.0,control_fda1,p1_004664538553
0.9785163998603821,0.9785163998603821,4,5.0,fda670,fda698
0.9886035919189453,0.9886035919189453,4,0.0,fda698,p1_Z2158046976
0.9892487525939941,0.9892487525939941,4,0.0,fda698,p1_Z1831707199
0.997893750667572,0.997893750667572,4,0.0,fda698,p1_4464
1.0007083415985107,1.0007083415985107,4,5.0,fda681,fda698
1.006428599357605,1.006428599357605,5,5.0,fda603,fda648
1.0122169256210327,1.0122169256210327,4,0.0,control_fda1,p1_002801168954
1.0142347812652588,1.0142347812652588,6,5.0,fda603,fda653
1.019136667251587,1.019136667251587,4,5.0,fda698,fda700
1.0252834558486938,1.0252834558486938,4,5.0,fda631,fda698
1.0319454669952393,1.0319454669952393,7,5.0,fda639,fda648
1.0428282022476196,1.0428282022476196,4,0.0,control_fda1,p1_003031949588
1.0519293546676636,1.0519293546676636,11,5.0,fda648,fda685
1.065426230430603,1.065426230430603,18,5.0,fda646,fda648
1.0665439367294312,1.0665439367294312,11,5.0,fda626,fda650
1.0801515579223633,1.0801515579223633,4,5.0,fda602,fda698
1.0802735090255737,1.0802735090255737,4,0.0,fda698,p1_006629960565
1.0818829536437988,1.0818829536437988,4,0.0,fda698,p1_7148
1.0866966247558594,1.0866966247558594,4,0.0,fda698,p1_1390
1.089101791381836,1.089101791381836,6,5.0,fda671,fda693
1.0978120565414429,1.0978120565414429,4,0.0,fda698,p1_004578743519
1.09947669506073,1.09947669506073,4,0.0,fda698,p1_610
1.1005457639694214,1.1005457639694214,4,0.0,fda698,p1_005444919692
1.106957197189331,1.106957197189331,4,0.0,fda698,p1_2058
1.1077603101730347,1.1077603101730347,4,0.0,fda698,p1_7643
1.1081804037094116,1.1081804037094116,4,0.0,control_fda1,p1_Z1587687597
1.1169674396514893,1.1169674396514893,6,0.0,control_fda1,p1_7849
1.1229832172393799,1.1229832172393799,4,0.0,fda698,p1_7849
1.1232889890670776,1.1232889890670776,5,5.0,control_fda1,fda621
1.1297509670257568,1.1297509670257568,5,5.0,fda603,fda646
1.1298468112945557,1.1298468112945557,6,5.0,fda650,fda671
1.1371994018554688,1.1371994018554688,6,5.0,fda648,fda671
1.1409416198730469,1.1409416198730469,4,5.0,fda694,fda698
1.1488789319992065,1.1488789319992065,5,5.0,control_fda1,fda668
1.1534733772277832,1.1534733772277832,6,5.0,control_fda1,fda663
1.1556581258773804,1.1556581258773804,4,5.0,fda665,fda698
1.1875391006469727,1.1875391006469727,5,0.0,fda698,p1_003019560505
1.190011739730835,1.190011739730835,5,0.0,fda698,p1_004482988570
1.1900577545166016,1.1900577545166016,4,5.0,fda618,fda698
1.1975268125534058,1.1975268125534058,7,5.0,fda627,fda679
1.1983697414398193,1.1983697414398193,8,0.0,fda679,p1_Z4076303215
1.204748272895813,1.204748272895813,6,5.0,fda603,fda650
1.207014799118042,1.207014799118042,5,0.0,fda698,p1_005038711753
1.2080191373825073,1.2080191373825073,5,5.0,control_fda1,fda683
1.2099031209945679,1.2099031209945679,4,5.0,control_fda1,fda676
1.2179259061813354,1.2179259061813354,7,5.0,fda679,fda693
1.2188072204589844,1.2188072204589844,11,5.0,fda646,fda685
1.2278127670288086,1.2278127670288086,7,0.0,fda671,p1_427
1.228031039237976,1.228031039237976,5,0.0,control_fda1,p1_1881
1.2286611795425415,1.2286611795425415,5,0.0,fda698,p1_005427790444
1.238506555557251,1.238506555557251,4,5.0,fda685,fda698
1.2391736507415771,1.2391736507415771,5,0.0,control_fda1,p1_Z2282731585
1.243528962135315,1.243528962135315,10,0.0,fda639,p1_1740
1.2455159425735474,1.2455159425735474,5,0.0,fda698,p1_006442234429
1.2493538856506348,1.2493538856506348,6,0.0,fda671,p1_002963694427
1.2495460510253906,1.2495460510253906,5,0.0,control_fda1,p1_Z4430959562
1.2509559392929077,1.2509559392929077,9,5.0,fda607,fda679
1.2516061067581177,1.2516061067581177,4,5.0,fda603,fda698
1.2549850940704346,1.2549850940704346,6,5.0,fda649,fda671
1.2559185028076172,1.2559185028076172,15,5.0,p1_2027,p1_Z1831707199
1.2681642770767212,1.2681642770767212,4,0.0,control_fda1,p1_Z4257896878
1.2683169841766357,1.2683169841766357,4,0.0,fda698,p1_Z4780697648
1.2770198583602905,1.2770198583602905,10,0.0,fda639,p1_005826276472
1.2801868915557861,1.2801868915557861,9,0.0,fda679,p1_4020
1.2846484184265137,1.2846484184265137,20,5.0,fda622,fda653
1.284899353981018,1.284899353981018,4,5.0,fda633,fda698
1.2903292179107666,1.2903292179107666,4,0.0,control_fda1,p1_Z4590872933
1.2905726432800293,1.2905726432800293,4,0.0,fda698,p1_6276
1.299407958984375,1.299407958984375,4,5.0,control_fda1,fda616
1.300595760345459,1.300595760345459,8,5.0,fda639,fda655
1.302721619606018,1.302721619606018,7,5.0,fda646,fda681
1.3077154159545898,1.3077154159545898,26,5.0,fda606,fda688
1.309064507484436,1.309064507484436,4,0.0,fda698,p1_005009898111
1.3091046810150146,1.3091046810150146,23,5.0,fda602,fda692
1.313381552696228,1.313381552696228,5,0.0,control_fda1,p1_6276
1.315851092338562,1.315851092338562,4,0.0,fda698,p1_Z2282731585
1.3159035444259644,1.3159035444259644,32,5.0,p1_Z2915627128,p1_Z3203601429
1.3162610530853271,1.3162610530853271,4,5.0,control_fda1,fda689
1.3169939517974854,1.3169939517974854,4,0.0,fda698,p1_Z2278538701
1.319865107536316,1.319865107536316,5,0.0,control_fda1,p1_476
1.325731873512268,1.325731873512268,5,0.0,control_fda1,p1_Z3741117286
1.329729676246643,1.329729676246643,7,5.0,control_fda1,fda628
1.3304846286773682,1.3304846286773682,6,5.0,fda627,fda671
1.3312920331954956,1.3312920331954956,14,0.0,fda650,p1_6442
